NORAD,Longitude,COSPAR,SATNAME,COUNTRY,LAUNCH,COMPLIANCE
42662,110.4998053,2017-018A,CHINASAT 16,PRC,4/12/17,Yes
37677,110.5403614,2011-026A,CHINASAT 10,PRC,6/20/11,Yes
41586,110.6549451,2016-037A,BD-2-G7,PRC,6/12/16,Yes
41241,111.2384078,2016-003A,IRNSS-1E,IND,1/20/16,Yes
40547,111.308886,2015-018A,IRNSS 1D,IND,3/28/15,Yes
29349,113.0751265,2006-034A,KOREASAT 5,SKOR,8/22/06,Yes
42984,113.1741398,2017-067A,KOREASAT 5A,SKOR,10/30/17,Yes
31800,115.564731,2007-031A,CHINASAT 6B,PRC,7/5/07,Yes
42691,115.918821,2017-023A,KOREASAT 7,SKOR,5/4/17,Yes
44709,115.9378921,2019-073A,BEIDOU 3 IGSO-3,PRC,11/4/19,Yes
37265,116.0285908,2010-070B,KOREASAT 6,SKOR,12/29/10,Yes
45920,116.2138401,2020-048A,KOREASAT 116,SKOR,7/20/20,Yes
44337,117.0093544,2019-035A,BEIDOU 3 IGSO-2,PRC,6/24/19,Yes
46610,117.9119733,2020-071A,GAOFEN 13,PRC,10/11/20,Yes
41944,118.0205607,2017-007A,TELKOM 3S,INDO,2/14/17,Yes
43463,119.1151938,2018-044A,BANGABANDHUSAT-1,BGD,5/11/18,Yes
52940,119.3137752,2022-073A,WFOV (USA 332),US,7/1/22,Yes
28786,119.4993692,2005-028A,IPSTAR 1,THAI,8/11/05,Yes
40141,119.9269516,2014-052A,ASIASAT 6,AC,9/7/14,Yes
36828,119.9538326,2010-036A,BEIDOU 5,PRC,7/31/10,Yes
42942,122.1988604,2017-057A,ASIASAT 9,AC,9/28/17,Yes
20253,123.3083974,1989-077A,FLTSATCOM 8 (USA 46),US,9/25/89,No
38331,124.048989,2012-023A,JCSAT 13,JPN,5/15/12,Yes
52255,125.0887611,2022-038A,CHINASAT 6D,PRC,4/15/22,Yes
55686,125.2058683,2023-023A,CHINASAT-26,PRC,2/23/23,Yes
29272,128.0323492,2006-033A,JCSAT 10,JPN,8/11/06,Yes
43432,128.0643698,2018-037A,COSMOS 2526,CIS,4/18/18,Yes
36744,128.1763195,2010-032A,COMS 1,SKOR,6/26/10,Yes
45246,128.2586912,2020-013B,GEO-KOMPSAT-2B,SKOR,2/18/20,Yes
43823,128.2900288,2018-100A,GEO-KOMPSAT-2A,SKOR,12/4/18,Yes
41034,128.5178153,2015-067A,LAOSAT 1,LAOS,11/20/15,Yes
56759,129.5744963,2023-076A,NVS-01,IND,5/29/23,Yes
41469,129.6359113,2016-027A,IRNSS 1G,IND,4/28/16,Yes
43920,130.0442502,2019-001A,CHINASAT 2D,PRC,1/10/19,Yes
49505,130.1620469,2021-114A,CHINASAT 1D,PRC,11/26/21,Yes
44067,130.4216247,2019-012A,CHINASAT 6C,PRC,3/9/19,Yes
41729,130.5084316,2016-050A,JCSAT 16,JPN,8/14/16,No
38332,131.877401,2012-023B,VINASAT 2,VTNM,5/15/12,Yes
32767,131.9688277,2008-018A,VINASAT 1,VTNM,4/18/08,Yes
29045,132.0752177,2006-010A,JCSAT 9,JPN,4/12/06,Yes
48808,133.319754,2021-047A,FENGYUN 4B,PRC,6/2/21,Yes
43450,134.0123966,2018-041A,APSTAR 6C,PRC,5/3/18,Yes
45863,134.0572792,2020-045A,APSTAR 6D,PRC,7/9/20,Yes
43339,134.1191721,2018-036A,USA 283,US,4/14/18,Yes
45245,135.9096946,2020-013A,JCSAT 17,JPN,2/18/20,Yes
50574,137.2535548,2021-135A,TJS-9,PRC,12/29/21,Yes
45465,137.3365097,2020-022B,AEHF 6 (USA 298),US,3/26/20,Yes
43611,138.0236223,2018-069A,TELSTAR 18V,CA,9/10/18,No
43162,139.0084987,2018-009A,SBIRS GEO 3 (USA 282),US,1/20/18,Yes
39613,139.8534753,2014-010B,EXPRESS AT2,CIS,3/15/14,Yes
39487,140.0384636,2013-077A,EXPRESS AM-5,CIS,12/26/13,Yes
40940,140.2657543,2015-054A,SKY MUSTER,AUS,9/30/15,Yes
40267,140.682553,2014-060A,HIMAWARI 8,JPN,10/7/14,Yes
41836,140.7828954,2016-064A,HIMAWARI 9,JPN,11/2/16,Yes
40982,142.0291072,2015-059A,APSTAR 9,PRC,10/16/15,Yes
28628,143.5398816,2005-009A,INMARSAT 4-F1,IM,3/11/05,Yes
33274,143.9640551,2008-038A,SUPERBIRD 7,JPN,8/14/08,Yes
44231,144.5576436,2019-027A,BEIDOU 2 G8,PRC,5/17/19,Yes
41794,144.8224982,2016-060B,SKY MUSTER 2,AUS,10/5/16,Yes
50001,144.9462097,2021-123A,EXPRESS AMU-7,CIS,12/13/21,Yes
44048,146.0559199,2019-009A,NUSANTARA SATU,INDO,2/22/19,Yes
47851,146.2275684,2021-019A,SHIYAN 9 (SY-9),PRC,3/11/21,Yes
55912,146.7725619,2023-036A,GAOFEN 13 02,PRC,3/17/23,Yes
27718,147.5856198,2003-014A,ASIASAT 4,AC,4/12/03,Yes
51281,147.6717357,2022-006B,USA 325,US,1/21/22,No
55239,148.000183,2023-005A,APSTAR 6E,PRC,1/12/23,Yes
41879,149.8326436,2016-075A,WGS 8 (USA 272),US,12/7/16,Yes
44868,149.9971984,2019-091A,JCSAT 18,JPN,12/17/19,Yes
41591,150.4858283,2016-039A,BRISAT,INDO,6/18/16,Yes
27711,150.6865142,2003-012A,USA 169,US,4/8/03,No
29495,152.0326367,2006-043B,OPTUS D1,AUS,10/13/06,Yes
41744,152.2964482,2016-052A,USA 270,US,8/19/16,Yes
41471,154.0065847,2016-028A,JCSAT 2B,JPN,5/6/16,Yes
50321,154.8557544,2021-129A,SHIYAN 12 01 (SY-12 01),PRC,12/23/21,Yes
40892,154.8691767,2015-046A,TJS-1,PRC,9/12/15,Yes
35756,156.0010802,2009-044B,OPTUS D3,AUS,8/21/09,Yes
40146,156.0383205,2014-054A,OPTUS 10,AUS,9/11/14,Yes
25924,159.0156464,1999-053A,ABS 6 (LMI 1),PRC,9/26/99,No
32252,160.0080679,2007-044A,OPTUS D2,AUS,10/5/07,Yes
37210,160.0762249,2010-057A,BEIDOU 6,PRC,10/31/10,Yes
43271,161.9983073,2018-033A,SUPERBIRD 8,JPN,4/5/18,Yes
54230,163.2906292,2022-148A,CHINASAT 19,PRC,11/5/22,Yes
55506,165.7411643,2023-016A,ELEKTRO-L 4,CIS,2/5/23,Yes
38356,166.0105225,2012-030A,INTELSAT 19,ITSO,6/1/12,Yes
43633,168.9951726,2018-074B,HORIZONS 3E,ITSO,9/25/18,Yes
50005,171.010182,2021-124A,TIANLIAN 2-02,PRC,12/13/21,Yes
23467,171.9964015,1995-003A,UFO 4 (USA 108),US,1/29/95,Yes
42741,172.0018122,2017-029B,EUTE 172B,EUTE,6/1/17,Yes
43874,172.9741438,2018-110A,TJS-3,PRC,12/24/18,Yes
40746,174.9599475,2015-036A,WGS 7 (USA 263),US,7/24/15,Yes
26554,175.999499,2000-059A,NSS 11 (AAP-1),SES,10/1/00,Yes
41869,177.0356144,2016-072A,TIANLIAN 1-04,PRC,11/22/16,Yes
47613,178.4257317,2021-010A,TJS-6,PRC,2/4/21,Yes
40882,179.591696,2015-042A,INMARSAT 5-F3,IM,8/28/15,Yes
37834,179.9957763,2011-056A,INTELSAT 18,ITSO,10/5/11,Yes
