NORAD,Longitude,COSPAR,SATNAME,COUNTRY,LAUNCH,COMPLIANCE
43651,-67.63088668,2018-079A,AEHF 4 (USA 288),US,10/17/18,Yes
49332,-67.09436691,2021-095A,SES 17,SES,10/24/21,Yes
42432,-66.9192365,2017-017A,SES 10,SES,3/30/17,Yes
41382,-65.23154531,2016-014A,EUTE 65W,EUTE,3/9/16,Yes
32768,-65.03525688,2008-018B,STAR ONE C2,BRAZ,4/18/08,Yes
43562,-63.02571305,2018-059A,TELSTAR 19V,CA,7/22/18,No
37602,-63.0037351,2011-021A,TELSTAR 14R,CA,5/20/11,No
39008,-61.50431326,2012-065A,ECHOSTAR 16,US,11/20/12,Yes
41592,-61.36428281,2016-039B,ECHOSTAR 18,US,6/18/16,Yes
35942,-61.05064666,2009-054A,AMAZONAS 2,SPN,9/30/09,Yes
42934,-61.02975681,2017-053A,AMAZONAS 5,SPN,9/11/17,Yes
39078,-61.00432333,2013-006A,AMAZONAS 3,SPN,2/7/13,Yes
55508,-58.98966602,2023-017A,AMAZONAS 6,BRAZ,2/7/23,Yes
38749,-58.01870149,2012-045A,INTELSAT 21,ITSO,8/19/12,Yes
40874,-55.4728393,2015-039A,INTELSAT 34,ITSO,8/20/15,Yes
40384,-55.00352532,2015-005A,INMARSAT 5-F2,IM,2/1/15,Yes
38867,-53.02753434,2012-057A,INTELSAT 23,ITSO,10/14/12,Yes
39168,-52.48837686,2013-024A,WGS 5 (USA 243),US,5/25/13,Yes
26880,-48.9276406,2001-033A,USA 159,US,8/6/01,Yes
43175,-47.48875924,2018-012B,SES 14,SES,1/25/18,Yes
36097,-45.01713186,2009-064A,INTELSAT 14,ITSO,11/23/09,Yes
41945,-43.17571842,2017-007B,INTELSAT 32E,ITSO,2/14/17,Yes
32253,-42.99847099,2007-044B,INTELSAT 11 (PAS 11),ITSO,10/5/07,Yes
39504,-40.95025154,2014-004A,TDRS 12,US,1/24/14,Yes
39172,-40.51292091,2013-026A,SES 6,SES,6/3/13,Yes
29520,-38.96444167,2006-049A,XM-4,US,10/30/06,Yes
39120,-38.00179864,2013-011A,SBIRS GEO 2 (USA 241),US,3/19/13,Yes
34111,-37.54718053,2009-009A,TELSTAR 11N,CA,2/26/09,No
41942,-35.99477305,2017-006A,HISPASAT 36W-1,SPN,1/28/17,Yes
42818,-34.50737374,2017-041A,INTELSAT 35E,ITSO,7/5/17,Yes
43272,-33.48997305,2018-033B,HYLAS 4,UK,4/5/18,Yes
33153,-31.48758407,2008-034A,INTELSAT 25(PROTOSTAR 1),ITSO,7/7/08,Yes
37804,-31.19254822,2011-047A,CHINASAT 1A,PRC,9/17/11,No
37264,-30.04639646,2010-070A,HISPASAT 1E,SPN,12/29/10,Yes
43228,-30.04473846,2018-023A,HISPASAT 30W-6,SPN,3/6/18,Yes
28945,-30.00554108,2006-007A,SPAINSAT,SPN,3/11/06,Yes
26824,-27.50053529,2001-024A,INTELSAT 901,ITSO,6/9/01,Yes
44625,-27.49610734,2019-067B,MEV-1,US,10/9/19,Yes
43039,-24.82711355,2017-078A,ALCOMSAT 1,ALG,12/10/17,Yes
25967,-22.748635,1999-063A,UFO 10 (USA 146),US,11/23/99,Yes
38087,-22.02388987,2012-007A,SES 4,SES,2/14/12,Yes
43174,-20.12849907,2018-012A,AL YAH 3,UAE,1/25/18,Yes
40258,-18.06913904,2014-058A,LUCH (OLYMP),CIS,9/27/14,No
42950,-17.99582944,2017-059A,INTELSAT 37E,ITSO,9/29/17,Yes
33055,-17.83328697,2008-030A,SKYNET 5C,UK,6/12/08,Yes
40374,-15.81643612,2015-002A,MUOS 3,US,1/21/15,Yes
41036,-15.00724433,2015-068A,TELSTAR 12V,CA,11/24/15,No
40895,-13.99499738,2015-048A,EXPRESS AM-8,CIS,9/14/15,Yes
42075,-11.99202235,2017-016A,WGS 9 (USA 275),US,3/19/17,Yes
33595,-11.02578814,2009-007A,EXPRESS AM-44,CIS,2/11/09,Yes
49258,-9.955985975,2021-087A,SHIYAN 10 (SY-10),PRC,9/27/21,Yes
40875,-8.003471405,2015-039B,EUTE 8 WEST B,EUTE,8/20/15,Yes
37816,-7.316837341,2011-051A,EUTE 7 WEST A (AB 7),EUTE,9/24/11,Yes
36830,-7.021161215,2010-037A,NILESAT 201,EGYP,8/4/10,Yes
52817,-6.998583095,2022-061A,NILESAT 301,EGYP,6/8/22,Yes
29273,-5.164326959,2006-033B,SYRACUSE 3B,FR,8/11/06,Yes
44624,-5.033304722,2019-067A,EUTELSAT 5 WEST B,EUTE,10/9/19,Yes
32794,-4.160238893,2008-022A,AMOS 3,ISRA,4/28/08,Yes
40107,-3.913815543,2014-046A,ASIASAT 8,AC,8/5/14,No
54743,-3.37751218,2022-170C,METEOSAT 12 (MTG I1),EUME,12/13/22,Yes
40424,-2.983518883,2015-010A,ABS 3A,PRC,3/2/15,No
46113,-0.989747578,2020-056B,MEV-2,US,8/15/20,Yes
28358,-0.970006889,2004-022A,INTELSAT 1002,ITSO,6/16/04,Yes
36033,-0.881651411,2009-058B,THOR 6,NOR,10/29/09,Yes
32487,-0.76917526,2008-006A,THOR 5,NOR,2/11/08,Yes
32478,-0.743773076,2008-003A,EXPRESS AM-33,CIS,1/28/08,No
40613,-0.677005616,2015-022A,THOR 7,NOR,4/26/15,Yes
54048,0.506652057,2022-134A,HOTBIRD 13F,EUTE,10/15/22,No
54259,1.557496873,2022-157A,EUTELSAT 10B,EUTE,11/23/22,Yes
42801,1.903524432,2017-038A,BULGARIASAT-1,BGR,6/23/17,Yes
